activity_id,tenant_id,activity_type,activity_date,outcome,days_to_renewal
act_00001,ten_001,qbr_completed,2024-04-21,no_response,189
act_00002,ten_001,call_completed,2024-02-24,positive,246
act_00003,ten_001,meeting_held,2024-05-12,neutral,168
act_00004,ten_001,call_completed,2024-02-20,neutral,250
act_00005,ten_001,meeting_held,2024-03-24,positive,217
act_00006,ten_001,meeting_held,2024-02-05,positive,265
act_00007,ten_001,email_sent,2024-06-21,neutral,128
act_00008,ten_001,email_sent,2024-03-19,neutral,222
act_00009,ten_001,call_completed,2024-02-13,positive,257
act_00010,ten_001,meeting_held,2024-05-02,positive,178
act_00011,ten_001,email_sent,2024-02-08,neutral,262
act_00012,ten_001,email_sent,2024-06-06,neutral,143
act_00013,ten_002,qbr_completed,2024-04-10,neutral,-75
act_00014,ten_002,meeting_held,2024-04-03,positive,-68
act_00015,ten_002,email_sent,2024-05-03,neutral,-98
act_00016,ten_002,support_ticket,2024-02-10,neutral,-15
act_00017,ten_002,qbr_completed,2024-04-26,neutral,-91
act_00018,ten_002,qbr_completed,2024-01-12,positive,14
act_00019,ten_002,meeting_held,2024-06-16,positive,-142
act_00020,ten_002,support_ticket,2024-03-24,neutral,-58
act_00021,ten_002,meeting_held,2024-03-19,negative,-53
act_00022,ten_003,support_ticket,2024-02-13,neutral,263
act_00023,ten_003,call_completed,2024-03-25,positive,222
act_00024,ten_003,call_completed,2024-02-05,neutral,271
act_00025,ten_003,qbr_completed,2024-01-27,positive,280
act_00026,ten_003,support_ticket,2024-04-27,neutral,189
act_00027,ten_003,email_sent,2024-02-17,neutral,259
act_00028,ten_003,qbr_completed,2024-05-08,negative,178
act_00029,ten_003,call_completed,2024-04-03,positive,213
act_00030,ten_003,call_completed,2024-02-22,positive,254
act_00031,ten_003,support_ticket,2024-05-01,neutral,185
act_00032,ten_004,meeting_held,2024-01-07,neutral,269
act_00033,ten_004,meeting_held,2024-02-24,positive,221
act_00034,ten_004,qbr_completed,2024-04-13,positive,172
act_00035,ten_004,qbr_completed,2024-02-28,no_response,217
act_00036,ten_004,support_ticket,2024-03-25,no_response,191
act_00037,ten_004,qbr_completed,2024-01-29,neutral,247
act_00038,ten_004,email_sent,2024-03-28,neutral,188
act_00039,ten_004,email_sent,2024-02-25,negative,220
act_00040,ten_005,support_ticket,2024-06-20,neutral,-36
act_00041,ten_006,meeting_held,2024-01-02,neutral,327
act_00042,ten_006,meeting_held,2024-01-29,neutral,300
act_00043,ten_006,call_completed,2024-04-18,negative,220
act_00044,ten_006,meeting_held,2024-01-24,neutral,305
act_00045,ten_006,call_completed,2024-06-19,positive,158
act_00046,ten_006,qbr_completed,2024-05-11,neutral,197
act_00047,ten_006,call_completed,2024-04-25,positive,213
act_00048,ten_006,support_ticket,2024-03-22,positive,247
act_00049,ten_006,email_sent,2024-04-09,no_response,229
act_00050,ten_006,meeting_held,2024-02-08,positive,290
act_00051,ten_006,meeting_held,2024-06-05,positive,172
act_00052,ten_007,email_sent,2024-04-07,negative,175
act_00053,ten_007,support_ticket,2024-01-16,positive,257
act_00054,ten_007,meeting_held,2024-02-18,negative,224
act_00055,ten_007,email_sent,2024-01-17,neutral,256
act_00056,ten_007,qbr_completed,2024-04-18,positive,164
act_00057,ten_007,email_sent,2024-01-07,neutral,266
act_00058,ten_008,call_completed,2024-01-09,positive,150
act_00059,ten_008,qbr_completed,2024-03-29,positive,70
act_00060,ten_008,email_sent,2024-03-27,neutral,72
act_00061,ten_008,meeting_held,2024-02-25,neutral,103
act_00062,ten_008,email_sent,2024-06-21,neutral,-14
act_00063,ten_008,call_completed,2024-04-27,neutral,41
act_00064,ten_008,meeting_held,2024-01-10,positive,149
act_00065,ten_008,meeting_held,2024-02-23,positive,105
act_00066,ten_008,email_sent,2024-02-15,positive,113
act_00067,ten_008,call_completed,2024-04-21,neutral,47
act_00068,ten_008,meeting_held,2024-03-30,positive,69
act_00069,ten_008,call_completed,2024-01-06,no_response,153
act_00070,ten_008,email_sent,2024-04-21,no_response,47
act_00071,ten_008,email_sent,2024-03-08,negative,91
act_00072,ten_008,call_completed,2024-06-16,positive,-9
act_00073,ten_008,support_ticket,2024-01-11,neutral,148
act_00074,ten_009,email_sent,2024-02-03,positive,3
act_00075,ten_009,qbr_completed,2024-01-14,neutral,23
act_00076,ten_009,support_ticket,2024-06-26,neutral,-141
act_00077,ten_009,support_ticket,2024-03-05,positive,-28
act_00078,ten_010,qbr_completed,2024-01-16,positive,256
act_00079,ten_010,call_completed,2024-04-14,neutral,167
act_00080,ten_010,qbr_completed,2024-04-16,neutral,165
act_00081,ten_010,meeting_held,2024-05-16,positive,135
act_00082,ten_010,qbr_completed,2024-01-06,neutral,266
act_00083,ten_010,call_completed,2024-05-30,no_response,121
act_00084,ten_010,qbr_completed,2024-06-07,positive,113
act_00085,ten_010,email_sent,2024-06-01,positive,119
act_00086,ten_010,qbr_completed,2024-06-22,positive,98
act_00087,ten_010,meeting_held,2024-04-16,positive,165
act_00088,ten_010,qbr_completed,2024-06-13,neutral,107
act_00089,ten_010,call_completed,2024-02-21,neutral,220
act_00090,ten_010,support_ticket,2024-06-12,positive,108
act_00091,ten_010,support_ticket,2024-04-22,positive,159
act_00092,ten_010,call_completed,2024-05-17,neutral,134
act_00093,ten_011,meeting_held,2024-02-21,positive,293
act_00094,ten_011,support_ticket,2024-03-10,neutral,275
