feature,importance
hv_events_30d,0.21413726
score_event_volume,0.11743157
score_hv_share,0.11158482
days_since_cs_touch,0.07351422
hv_share_30d,0.062444974
score_active_users,0.043212608
days_to_renewal,0.03987577
contract_age_months,0.038860288
usage_trend_ratio,0.035313796
score_cs_touch,0.03356669
active_user_pct,0.03188685
rgn_LATAM,0.030300241
total_events_recent_4w,0.017056255
employee_size_encoded,0.016606927
src_outbound,0.016324753
active_days_30d,0.013880789
arr,0.010609462
total_events_30d,0.010342665
active_users_30d,0.008310664
total_events_60d,0.007933354
rgn_APAC,0.0077441083
cs_touches_90d,0.007382847
ind_Technology,0.007361016
total_events_90d,0.0056227776
total_users,0.005019319
active_users,0.0048145065
ind_Legal,0.0045882342
score_trend,0.0043937704
total_events_prior_4w,0.004345617
src_partner,0.004231153
src_trial,0.0031893025
src_referral,0.001901041
ind_Healthcare,0.0018818281
rgn_EMEA,0.0017305276
rgn_NAM,0.0016807368
pov_started,0.00091926527
plan_encoded,0.0
src_inbound,0.0
ind_Education,0.0
ind_Government,0.0
ind_Finance,0.0
ind_Manufacturing,0.0
ind_Retail,0.0
